Type,Number,Transaction Date,Last Payment Date,Amt. Paid (USD)
Invoice,18895,05/24/2025,05/29/2025,4975.00
Invoice,18896,05/24/2025,05/29/2025,4910.00
Invoice,18897,05/24/2025,05/29/2025,4910.00
Invoice,18898,05/24/2025,05/29/2025,4910.00
Invoice,18899,05/24/2025,05/29/2025,4910.00
Invoice,18901,05/24/2025,05/29/2025,4910.00
Invoice,18902,05/24/2025,05/29/2025,5110.00
Invoice,18903,05/24/2025,05/29/2025,5110.00
Invoice,18904,05/24/2025,05/29/2025,4910.00
Invoice,18905,05/24/2025,05/29/2025,4910.00
Invoice,18906,05/24/2025,05/29/2025,4910.00
Invoice,18907,05/24/2025,05/29/2025,4910.00
Invoice,18908,05/24/2025,05/29/2025,4910.00
Invoice,18909,05/24/2025,05/29/2025,4975.00
Invoice,18910,05/24/2025,05/29/2025,4910.00
Invoice,18911,05/24/2025,05/29/2025,4910.00
Invoice,18912,05/24/2025,05/29/2025,4910.00
Invoice,18913,05/24/2025,05/29/2025,4910.00
Invoice,18914,05/24/2025,05/29/2025,4910.00
Invoice,18885,05/24/2025,06/17/2025,282.71
Invoice,18879,05/23/2025,05/27/2025,530.38
Invoice,18884,05/23/2025,,0.00
Invoice,15987,05/23/2025,06/04/2025,9649.64
Invoice,18877,05/23/2025,05/28/2025,3443.50
Invoice,18876,05/23/2025,,0.00
Invoice,18875,05/23/2025,,0.00
Invoice,18916,05/22/2025,,0.00
Invoice,18874,05/22/2025,,0.00
Invoice,18873,05/22/2025,,0.00
Invoice,18872,05/21/2025,05/22/2025,11895.50
Invoice,18870,05/21/2025,,0.00
Invoice,19062,05/21/2025,,0.00
Invoice,19004,05/21/2025,,0.00
Invoice,19003,05/21/2025,,0.00
Invoice,18915,05/20/2025,05/27/2025,7050.00
Invoice,19010,05/20/2025,06/09/2025,3000.00
Invoice,18840,05/20/2025,06/16/2025,2125.00
Invoice,18839,05/20/2025,06/16/2025,2125.00
Invoice,18838,05/20/2025,,0.00
Invoice,18837,05/20/2025,06/03/2025,200.00
Invoice,18836,05/20/2025,05/30/2025,14825.00
Invoice,18834,05/19/2025,05/22/2025,1170.50
Invoice,18833,05/19/2025,,0.00
Invoice,18832,05/19/2025,,0.00
Invoice,18831,05/19/2025,06/05/2025,2315.00
Invoice,19061,05/19/2025,,0.00
Invoice,18936,05/19/2025,,0.00
Invoice,18830,05/19/2025,05/20/2025,1260.00
Invoice,18826,05/19/2025,,0.00
Invoice,18828,05/19/2025,,0.00
Invoice,18827,05/19/2025,,0.00
Invoice,18931,05/17/2025,05/30/2025,4053.75
Invoice,18841,05/17/2025,05/28/2025,4960.00
Invoice,18842,05/17/2025,05/28/2025,4960.00
Invoice,18843,05/17/2025,05/28/2025,4960.00
Invoice,18844,05/17/2025,05/28/2025,4960.00
Invoice,18845,05/17/2025,05/28/2025,5625.00
Invoice,18846,05/17/2025,05/28/2025,4960.00
Invoice,18847,05/17/2025,05/28/2025,5025.00
Invoice,18848,05/17/2025,05/28/2025,4960.00
Invoice,18849,05/17/2025,05/28/2025,5025.00
Invoice,18850,05/17/2025,05/28/2025,4960.00
Invoice,18851,05/17/2025,05/28/2025,4960.00
Invoice,18852,05/17/2025,05/28/2025,5025.00
Invoice,18853,05/17/2025,05/28/2025,4960.00
Invoice,18854,05/17/2025,05/28/2025,5025.00
Invoice,18855,05/17/2025,05/28/2025,5025.00
Invoice,18856,05/17/2025,05/28/2025,4960.00
Invoice,18857,05/17/2025,05/28/2025,4960.00
Invoice,18858,05/17/2025,05/28/2025,4960.00
Invoice,18859,05/17/2025,05/28/2025,4960.00
Invoice,18860,05/17/2025,05/28/2025,4960.00
Invoice,18861,05/17/2025,05/28/2025,4960.00
Invoice,18862,05/17/2025,05/28/2025,4960.00
Invoice,18863,05/17/2025,05/28/2025,4960.00
Invoice,18864,05/17/2025,05/28/2025,4960.00
Invoice,18865,05/17/2025,05/28/2025,4960.00
Invoice,18866,05/17/2025,05/28/2025,4960.00
Invoice,18868,05/17/2025,05/28/2025,5025.00
Invoice,19002,05/17/2025,,0.00
Invoice,19001,05/17/2025,,0.00
Invoice,18824,05/16/2025,,0.00
Invoice,18829,05/15/2025,,0.00
Invoice,18821,05/15/2025,05/16/2025,5216.02
Invoice,18819,05/15/2025,,0.00
Invoice,18921,05/14/2025,,0.00
Invoice,19000,05/14/2025,,0.00
Invoice,18999,05/14/2025,,0.00
Invoice,18786,05/13/2025,05/21/2025,2475.00
Invoice,18785,05/13/2025,06/04/2025,2725.00
Invoice,18782,05/12/2025,05/19/2025,6436.50
Invoice,18780,05/12/2025,06/04/2025,650.00
Invoice,18777,05/11/2025,05/14/2025,3963.96
Invoice,18774,05/11/2025,,0.00
Invoice,18816,05/10/2025,05/20/2025,5260.00
Invoice,18998,05/10/2025,,0.00
Invoice,18997,05/10/2025,,0.00
Invoice,18776,05/09/2025,,0.00
Invoice,18775,05/09/2025,05/14/2025,198.00
Invoice,18772,05/09/2025,05/13/2025,2040.00
Invoice,18771,05/09/2025,05/13/2025,850.00
Invoice,18779,05/09/2025,05/20/2025,7650.00
Invoice,18787,05/09/2025,05/20/2025,5260.00
Invoice,18788,05/09/2025,05/20/2025,5460.00
Invoice,18789,05/09/2025,05/20/2025,5460.00
Invoice,18790,05/09/2025,05/20/2025,5460.00
Invoice,18791,05/09/2025,05/20/2025,5460.00
Invoice,18792,05/09/2025,05/20/2025,5260.00
Invoice,18793,05/09/2025,05/20/2025,5260.00
Invoice,18794,05/09/2025,05/20/2025,5260.00
Invoice,18795,05/09/2025,05/20/2025,5260.00
Invoice,18796,05/09/2025,05/20/2025,6185.00
Invoice,18797,05/09/2025,05/20/2025,5325.00
Invoice,18798,05/09/2025,05/20/2025,5325.00
Invoice,18799,05/09/2025,05/20/2025,5260.00
Invoice,18800,05/09/2025,05/20/2025,5260.00
Invoice,18801,05/09/2025,05/20/2025,5260.00
Invoice,18802,05/09/2025,05/20/2025,5260.00
Invoice,18803,05/09/2025,05/20/2025,5325.00
Invoice,18804,05/09/2025,05/20/2025,5260.00
Invoice,18805,05/09/2025,05/20/2025,5260.00
Invoice,18806,05/09/2025,05/20/2025,5460.00
Invoice,18807,05/09/2025,05/20/2025,5260.00
Invoice,18808,05/09/2025,05/20/2025,5260.00
Invoice,18809,05/09/2025,05/20/2025,5460.00
Invoice,18810,05/09/2025,05/20/2025,5260.00
Invoice,18811,05/09/2025,05/20/2025,5260.00
Invoice,18812,05/09/2025,05/20/2025,5260.00
Invoice,18813,05/09/2025,05/20/2025,5325.00
Invoice,18814,05/09/2025,05/20/2025,5260.00
Invoice,18815,05/09/2025,05/20/2025,5260.00
Invoice,18817,05/09/2025,05/20/2025,5260.00
Invoice,18818,05/09/2025,05/20/2025,5325.00
Invoice,18756,05/09/2025,05/27/2025,2034.16
Invoice,18822,05/09/2025,06/16/2025,5779.54
Invoice,18725,05/08/2025,,0.00
Invoice,18723,05/08/2025,,0.00
Invoice,18719,05/08/2025,,0.00
Invoice,18718,05/08/2025,,0.00
Invoice,18717,05/08/2025,,0.00
Invoice,18714,05/08/2025,06/09/2025,1590.00
Invoice,18712,05/08/2025,,0.00
Invoice,18708,05/08/2025,06/04/2025,3877.00
Invoice,18680,05/08/2025,05/07/2025,2272.66
Invoice,18707,05/08/2025,,0.00
Invoice,17611,05/08/2025,05/22/2025,100800.00
Invoice,18985,05/07/2025,,0.00
Invoice,18820,05/07/2025,,0.00
Invoice,18689,05/06/2025,,0.00
Invoice,18685,05/06/2025,,0.00
Invoice,18706,05/05/2025,06/17/2025,2128.55
Invoice,18773,05/05/2025,05/14/2025,2820.00
Invoice,18781,05/05/2025,,0.00
Invoice,18679,05/05/2025,05/05/2025,242.22
Invoice,18671,05/02/2025,05/05/2025,8444.00
Invoice,18665,05/02/2025,05/21/2025,5577.50
Invoice,18835,05/02/2025,,0.00
Invoice,18664,05/02/2025,,0.00
Invoice,18984,05/01/2025,,0.00
Invoice,18715,05/01/2025,05/09/2025,375.00
Invoice,18681,05/01/2025,05/06/2025,7336.21
Invoice,18523,05/01/2025,04/17/2025,2475.00
Invoice,18668,05/01/2025,05/08/2025,4006.00
Invoice,18667,05/01/2025,05/07/2025,4006.00
Invoice,18666,05/01/2025,05/07/2025,4006.00
Invoice,18488,05/01/2025,05/08/2025,4041.00
Invoice,18596,05/01/2025,,0.00
Invoice,18550,04/30/2025,05/05/2025,440.80
Invoice,18628,04/30/2025,06/09/2025,635.00
Invoice,18684,04/30/2025,,0.00
Invoice,18693,04/30/2025,05/28/2025,5059.00
Invoice,18683,04/30/2025,05/20/2025,2782.00
Invoice,18728,04/30/2025,,0.00
Invoice,18682,04/30/2025,05/07/2025,5491.74
Invoice,18692,04/30/2025,05/22/2025,12895.00
Invoice,18727,04/30/2025,,0.00
Invoice,18691,04/30/2025,05/19/2025,24783.56
Invoice,18726,04/30/2025,,0.00
Invoice,18784,04/30/2025,05/14/2025,16556.41
Invoice,18783,04/30/2025,05/14/2025,8120.46
Invoice,18724,04/30/2025,,0.00
Invoice,18722,04/30/2025,,0.00
Invoice,18721,04/30/2025,,0.00
Invoice,18720,04/30/2025,,0.00
Invoice,18619,04/30/2025,05/01/2025,880.00
Invoice,18623,04/30/2025,05/01/2025,8237.26
Invoice,18663,04/30/2025,06/17/2025,1930.00
Invoice,18695,04/30/2025,06/03/2025,14250.00
Invoice,18713,04/30/2025,,0.00
Invoice,18711,04/30/2025,,0.00
Invoice,18696,04/30/2025,05/13/2025,5325.00
Invoice,18697,04/30/2025,05/13/2025,5260.00
Invoice,18699,04/30/2025,05/13/2025,5260.00
Invoice,18700,04/30/2025,05/13/2025,5260.00
Invoice,18701,04/30/2025,05/13/2025,5605.00
Invoice,18702,04/30/2025,05/13/2025,5325.00
Invoice,18703,04/30/2025,05/13/2025,5260.00
Invoice,18704,04/30/2025,05/13/2025,5325.00
Invoice,18705,04/30/2025,05/13/2025,5325.00
Invoice,18729,04/30/2025,05/13/2025,5995.00
Invoice,18732,04/30/2025,05/13/2025,5260.00
