date,description,amount
02/14/2025,'Preauthorized Credit ACCELERATED PAYM CORP PAY 250214 TECH CARGO LLC 071000286098892,1511.09
02/14/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250214 11162012168 021000023120878,1200.00
02/14/2025,'Preauthorized Credit PROMO INTERNATIO ACH PMT INV. 17980 021000023115350,7079.00
02/14/2025,'Wire Transfer-in 1/SANAEL LLC DBA C 1/SANAEL LLC DBA C ENTRAL TRADING 000000000000339,150.00
02/14/2025,Deposit 000007188208150,3675.00
02/18/2025,'Preauthorized Credit GD GROUP SUPPLY SENDER 250218 772359092 113000021129127,21150.00
02/18/2025,'Wire Transfer-in 1/SUPRICOMSABANCO 1/SUPRICOMSA 000000000000111,1960.00
02/18/2025,'Wire Transfer-in 1/GRUPO SICILIA SA 1/GRUPO SICILIA SA 000000000000034,2055.00
02/18/2025,'Wire Transfer-in 1/SANAEL LLC DBA C 1/SANAEL LLC DBA C ENTRAL TRADING 000000000000089,3625.00
02/18/2025,'Wire Transfer-in DISBATTERY LUBRICA DISBATTERY LUBRICA NTES LLC 000000000000335,35235.00
02/19/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250219 00732259 028000085862853,1575.00
02/19/2025,'Preauthorized Credit VENCOL INTERNATI ACH PAYMEN 250219 TECH CARGO 067015770009012,1950.00
02/19/2025,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 17823 - 17834 021000023390627,13703.42
02/19/2025,'Preauthorized Credit MERCHANT BNKCD DEPOSIT 250219 938206002884 026008817342670,2931.38
02/19/2025,Deposit 000007188264640,6621.77
02/19/2025,'Wire Transfer-in PEARL MERCHANDISIN PEARL MERCHANDISIN G AND DISTRIBUTIO 000000000000228,9000.00
02/19/2025,Deposit 000007188284520,9225.00
02/20/2025,'Preauthorized Credit A & M GLOBAL SOL ACH PMT PAYMENT INV 17663- 17740-17747-17748 021000023041582,9301.65
02/20/2025,Deposit 000007188292700,2060.00
02/20/2025,'Wire Transfer-in LEXIMP LOGISTIC SA LEXIMP LOGISTIC SA S 000000000000278,2763.00
02/20/2025,'Wire Transfer-in AMERICANA DE MONTA AMERICANA DE MONTA CARGAS C A 000000000000126,7175.00
02/21/2025,Deposit 000007188305380,290.00
02/24/2025,'Preauthorized Credit ISO TOOLS LLC SENDER 250224 773973010 113000021467784,6000.00
02/24/2025,'Wire Transfer-in COMPANIA GOLY S AB COMPANIA GOLY S A 000000000000401,1983.00
02/24/2025,'Wire Transfer-in SBS LOGISTICS SING SBS LOGISTICS SING APORE PTE LTD 000000000000070,3130.00
02/24/2025,'Wire Transfer-in INTER ANDINA JGBL INTER ANDINA JGBL SAC 000000000000030,6454.00
02/24/2025,Deposit 000007188331490,166445.34
02/25/2025,'Preauthorized Credit INELEC CORPORATI SENDER 250225 773794910 113000021539817,1445.00
02/25/2025,'Preauthorized Credit COMPUTER PLANET ACH PMT INVOICE 17865 021000028489382,2000.00
02/25/2025,'Preauthorized Credit PAH DISTRIBUTORS SENDER 250225 774479536 113000021552396,15336.05
02/25/2025,'Wire Transfer-in 1/DEALS ENTERPRISE 1/DEALS ENTERPRISE S SA 000000000000070,1910.00
02/25/2025,Deposit 000007188349580,5270.00
02/26/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250226 00733402 028000085869129,525.00
02/26/2025,'Preauthorized Credit SUPRICOM LLC SENDER 250226 774677630 113000021631006,11800.00
02/26/2025,'Preauthorized Credit MERCHANT BNKCD DEPOSIT 250226 938206002884 026008818753661,13296.91
02/26/2025,Deposit 000007188367160,5270.00
02/27/2025,Deposit 000007188384640,3372.97
02/28/2025,'Preauthorized Credit SUPRICOM USA LLC SENDER 250228 775145640 113000021810409,5250.00
02/28/2025,Deposit 000007188420610,35092.50
03/03/2025,'Preauthorized Credit RAPID EXPORT SER FCL OCEAN FCL OCEAN FREIGHT 062000010130248,1802.00
03/04/2025,'Preauthorized Credit GLOBAL CARGO AND ACH CREDIT 250304 053101127538036,5200.00
03/04/2025,'Preauthorized Credit COMPUTER PLANET SENDER 250304 775241344 113000022025784,2000.00
03/04/2025,'Wire Transfer-in 1/SANAEL LLC DBA C 1/SANAEL LLC DBA C ENTRAL TRADING 000000000000195,1950.00
03/04/2025,Deposit 000007188460560,70475.00
03/05/2025,'Preauthorized Credit NOVACT CORPORATI ACH PMT 17862 021000023400997,589.95
03/05/2025,'Wire Transfer-in ASAP PROS1BNP PARI ASAP PROS1 000000000000023,150.00
03/05/2025,'Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A S.A. 000000000000666,6095.13
03/05/2025,'Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000178,9817.60
03/05/2025,'Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000176,10075.00
03/06/2025,'Preauthorized Credit COMPUTER PLANET ACH PMT INVOICE 17865 021000028590531,3817.17
03/06/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250306 11164409719 021000020398882,1200.00
03/06/2025,Deposit 000007188507780,3805.00
03/06/2025,'Wire Transfer-in 1/GRUPO SICILIA SA 1/GRUPO SICILIA SA 000000000000035,4849.00
03/10/2025,'Preauthorized Credit ISO TOOLS LLC SENDER 250310 777437576 113000022452101,14321.31
03/10/2025,Deposit 000007188588550,208145.00
03/11/2025,'Preauthorized Credit PAH DISTRIBUTORS SENDER 250311 777606062 113000022547765,27886.78
03/11/2025,Deposit 000007188594420,1700.00
03/12/2025,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 18146 - 18154 021000026867744,37965.55
03/12/2025,'Wire Transfer-in 1/SALMARA COMPANY 1/SALMARA COMPANY LLC 000000000000028,845.00
03/12/2025,Deposit 000007188624880,4031.84
03/12/2025,Deposit 000007188637250,27647.50
03/13/2025,'Preauthorized Credit VENCOL INTERNATI ACH PAYMEN 250313 TECH CARGO 067015770003611,1980.00
03/13/2025,'Preauthorized Credit SPACE PLUS USA L SENDER 250313 778180908 113000022698663,15417.98
03/13/2025,Deposit 000007188653530,26615.00
03/14/2025,Deposit 000007188658720,1624.22
03/14/2025,'Wire Transfer-in 1/SUPRICOMSABANCO 1/SUPRICOMSA 000000000000197,1960.00
03/14/2025,'Wire Transfer-in TRANSPORTE INTERNA TRANSPORTE INTERNA CIONAL G Y L SPA 000000000000060,3521.62
03/17/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250317 00736011 028000089653386,1050.00
03/17/2025,'Preauthorized Credit PROMO INTERNATIO ACH PMT INV. 18153 021000029370745,12391.78
03/17/2025,'Wire Transfer-in 1/SANAEL LLC DBA C 1/SANAEL LLC DBA C ENTRAL TRADING 000000000000039,3208.00
03/17/2025,'Wire Transfer-in C-POST INTERNATION C-POST INTERNATION AL N V 000000000000045,20462.03
03/18/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250318 00736180 028000088506180,1050.00
03/18/2025,'Preauthorized Credit SUPRICOM LLC SENDER 250318 779123824 113000022945090,6170.00
03/18/2025,'Wire Transfer-in INVERSIONES EL REY INVERSIONES EL REY DE MARGARITA C.A 000000000000076,614.80
03/18/2025,Deposit 000007188709020,3886.30
03/20/2025,'Preauthorized Credit PAH DISTRIBUTORS SENDER 250320 779554590 113000023073284,24426.20
03/20/2025,Credit Memo ADV FROM LN 70070017436-10102 256000320133802,100000.00
03/20/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250320 11166004937 021000020160456,1000.00
03/20/2025,'Wire Transfer-in COMPANIA GOLY S.AB COMPANIA GOLY S.A 000000000000553,1983.00
03/20/2025,Deposit 000007188743030,26275.22
03/20/2025,'Wire Transfer-in CASOCA CORPPAYMENT CASOCA CORP 000000000000379,31752.48
03/20/2025,Deposit 000007188755350,167865.00
03/21/2025,'Wire Transfer-in 1/IMPORT SERVICES 1/IMPORT SERVICES TRADING LLC 000000000000036,5062.00
03/24/2025,'Preauthorized Credit CROWLEY 7789 EDI PAYMNT 250321 8153977 031100208768644,1745.00
03/24/2025,Deposit 000007188799350,3754.93
03/25/2025,'Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A S.A. 000000000000098,6979.56
03/26/2025,'Preauthorized Credit TU PAQUETICO CO ACH PMT 250326 11166485731 021000025751390,1000.00
03/26/2025,'Preauthorized Credit PAYCARGO ACHPAYMENT 250325 BATCH 6872845 081000600706031,5520.00
03/26/2025,'Wire Transfer-in CASOCA CORPPAYMENT CASOCA CORP 000000000000388,130429.26
03/27/2025,'Preauthorized Credit SEABOARD MARINE TRUCKERS 250327 00737570 028000089151531,1575.00
03/27/2025,'Preauthorized Credit LOGISTIC SERVICE CORP PAY 250327 114000098243998,7890.00
03/27/2025,'Wire Transfer-in EDITORIAL LABORATO EDITORIAL LABORATO RIO EDUCATIVO SAS 000000000000650,2680.00
03/27/2025,Deposit 000007188834470,172440.00
03/28/2025,'Preauthorized Credit INELEC CORPORATI SENDER 250328 780574146 113000023500512,2305.89
03/28/2025,'Preauthorized Credit A & M GLOBAL SOL ACH PMT PAYMENT INVOICES 021000022527446,9969.72
03/28/2025,'Preauthorized Credit MERCHANT BNKCD DEPOSIT 250328 938206002884 026008819568771,380.07
03/28/2025,'Wire Transfer-in INTER ANDINA JGBL INTER ANDINA JGBL SAC 000000000000051,5703.00
03/28/2025,'Wire Transfer-in FAMILY MARKET C.AP FAMILY MARKET C.A 000000000000170,7371.22
03/31/2025,'Preauthorized Credit CAPITAL LOGISTIC MILENA 250331 6811688495 211274451007232,1115.00
03/31/2025,'Preauthorized Credit VENCOL INTERNATI ACH PAYMEN 250331 TECH CARGO 067015770004751,2390.00
03/31/2025,'Preauthorized Credit GD GROUP SUPPLY SENDER 250331 780666990 113000023592459,13950.00
03/31/2025,'Preauthorized Credit MERCHANT BNKCD DEPOSIT 250329 938206002884 026008819080703,440.33
03/31/2025,'Wire Transfer-in 1/SALMARA COMPANY 1/SALMARA COMPANY LLC 000000000000330,1406.60
03/31/2025,'Wire Transfer-in 1/BINLLOSSERA SA.B 1/BINLLOSSERA SA. 000000000000079,5080.00
03/31/2025,Deposit 000007188873950,42417.50
04/09/2025,"Preauthorized Credit TU PAQUETICO, CO ACH PMT INVOICE 17999 021000026349227",1800.00
04/09/2025,Preauthorized Credit PAYCARGO ACHPAYMENT 250408 BATCH 6916409 081000606688824,1950.00
04/09/2025,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 18306 - 18336 021000026361149,37175.34
04/10/2025,Preauthorized Credit PAH DISTRIBUTORS SENDER 250410 783926090 113000024409956,14623.48
04/10/2025,Wire Transfer-in 1/SANAEL LLC DBA C 1/SANAEL LLC DBA C ENTRAL TRADING 000000000000552,783.00
04/10/2025,Deposit 000007189080190,2049.08
04/10/2025,Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES) SRL 000000000000544,3525.00
04/10/2025,Deposit 000007189092030,4490.00
04/10/2025,Wire Transfer-in 1/VICE SOLUTIONS L 1/VICE SOLUTIONS L LC 000000000000028,5414.00
04/10/2025,Deposit 000007189075110,11198.00
04/30/2025,Deposit 000007189357860,4000.00
04/30/2025,Wire Transfer-in MAZEL FASHIONS INC MAZEL FASHIONS INC 000000000000281,10968.56
04/30/2025,Wire Transfer-in OMEGA TECHNOLOGY D OMEGA TECHNOLOGY D E EL SALVADOR SA 000000000000509,14225.48
05/01/2025,Wire Transfer-in CHIPS RETURN OF FU CHIPS RETURN OF FU NDS ACCOUNT 000000000000083,1620.00
05/01/2025,Wire Transfer-in MAZEL FASHIONS INC MAZEL FASHIONS INC 000000000000439,11049.79
05/01/2025,Deposit 000007189377650,13435.00
05/02/2025,Preauthorized Credit CAPITAL LOGISTIC MILENA 250502 6811688495 211274452007356,1825.00
05/02/2025,Preauthorized Credit PAH DISTRIBUTORS SENDER 250502 788175504 113000025715953,8306.95
05/02/2025,Wire Transfer-in 1/SUPRICOMSABANCO 1/SUPRICOMSA 000000000000359,1800.00
05/02/2025,Deposit 000007189397820,25523.16
05/05/2025,Wire Transfer-in INVERSIONES EL REY INVERSIONES EL REY DE MARGARITA C.A 000000000000705,440.80
05/05/2025,Wire Transfer-in ACTIVE LOGISTIC SO ACTIVE LOGISTIC SO LUTIONS CORP 000000000000533,6000.00
05/05/2025,Wire Transfer-in 1/ISO TOOLS LLC549 1/ISO TOOLS LLC 000000000000342,10021.16
05/05/2025,Wire Transfer-in 1/ISO TOOLS LLC549 1/ISO TOOLS LLC 000000000000404,14000.00
05/05/2025,Wire Transfer-in AMCOR PET PACKAGIN AMCOR PET PACKAGIN G DE VENEZUE 000000000000225,38195.25
05/06/2025,Preauthorized Credit PAYCARGO ACHPAYMENT 250505 BATCH 7001779 081000606465588,2444.00
05/06/2025,Preauthorized Credit SUPRICOM USA LLC ACH PMT 250506 11171547883 021000024074584,5905.00
05/06/2025,Wire Transfer-in 1/SANAEL LLC DBA C 1/SANAEL LLC DBA C ENTRAL TRADING 000000000000282,1383.00
05/06/2025,Deposit 000007189478400,147624.00
05/07/2025,Preauthorized Credit MERCHANT BNKCD DEPOSIT 250507 938206002884 026008817014319,7556.30
05/30/2025,Deposit 000007189844310,2034.16
05/30/2025,Wire Transfer-in 1/SANAEL LLC DBA C 1/SANAEL LLC DBA C ENTRAL TRADING 000000000000698,2678.00
05/30/2025,Wire Transfer-in 1/FLORI CARGO LLCV 1/FLORI CARGO LLC 000000000000732,4053.75
05/30/2025,Deposit 000007189830480,14825.00
05/30/2025,Wire Transfer-in SUPER TECHNO LLCBP SUPER TECHNO LLC 000000000000819,49804.19
